Field,DeltaG
90000.39844,-1.01001
85000.26563,-0.95111
80000.39844,-0.89036
75000.3125,-0.82736
70000.28125,-0.76272
65000.36719,-0.6969
60000.38281,-0.62932
55000.37109,-0.56103
50000.27734,-0.49184
45000.30859,-0.4229
40000.14844,-0.35457
35000.21094,-0.2879
30000.31055,-0.22409
25000.36523,-0.16481
19999.94336,-0.11151
15000.01953,-0.06626
9999.84668,-0.03137
8999.99219,-0.02575
8500.33301,-0.0231
8000.26904,-0.02065
7500.20605,-0.01836
7000.41504,-0.01609
6499.90039,-0.01393
6000.01465,-0.01196
5499.80859,-0.01009
5000.35059,-0.00855
4500.18066,-0.00699
4000.34229,-0.00558
3500.13647,-0.00448
2999.84717,-0.00337
2499.92603,-0.00245
1999.68445,-0.00167
1500.25,-0.00102
1000.28143,-4.93E-04
500.21793,-2.10E-04
0.3324,0
-499.93298,-9.83E-06
-999.60474,-3.04E-04
-1499.84644,-6.40E-04
-1999.82678,-0.0011
-2499.62939,-0.0018
-2999.76392,-0.00257
-3499.59009,-0.0036
-3999.57056,-0.0046
-4499.646,-0.00595
-4999.81641,-0.00725
-5499.85645,-0.00897
-5999.5874,-0.01064
-6499.75781,-0.01235
-6999.61963,-0.01437
-7499.67139,-0.01645
-7999.75879,-0.01878
-8499.79883,-0.02119
-8999.71973,-0.02363
-9999.81152,-0.02923
-14999.69922,-0.064
-19999.57422,-0.10902
-24999.7832,-0.16217
-29999.79102,-0.22147
-34999.70313,-0.28528
-39999.71875,-0.35188
-44999.61719,-0.42027
-49999.72266,-0.48938
-54999.82031,-0.55858
-59999.59375,-0.62714
-64999.72656,-0.6948
-69999.80469,-0.76089
-74999.59375,-0.82559
-79999.625,-0.88887
-84999.60938,-0.94986
-89999.58594,-1.00894
