Field,Conductance
90000.39844,-9.09007
85000.26563,-8.55997
80000.39844,-8.01325
75000.3125,-7.44624
70000.28125,-6.86445
65000.36719,-6.2721
60000.38281,-5.66389
55000.37109,-5.04926
50000.27734,-4.42654
45000.30859,-3.80614
40000.14844,-3.19111
35000.21094,-2.59114
30000.31055,-2.01679
25000.36523,-1.48332
19999.94336,-1.00363
15000.01953,-0.59635
9999.84668,-0.2823
8999.99219,-0.23174
8500.33301,-0.20786
8000.26904,-0.18587
7500.20605,-0.1652
7000.41504,-0.14478
6499.90039,-0.12533
6000.01465,-0.10767
5499.80859,-0.09081
5000.35059,-0.07699
4500.18066,-0.0629
4000.34229,-0.05022
3500.13647,-0.0403
2999.84717,-0.03036
2499.92603,-0.02207
1999.68445,-0.01499
1500.25,-0.00919
1000.28143,-0.00444
500.21793,-0.00189
0.3324,0
-499.93298,-8.85E-05
-999.60474,-0.00273
-1499.84644,-0.00576
-1999.82678,-0.00992
-2499.62939,-0.0162
-2999.76392,-0.02315
-3499.59009,-0.03236
-3999.57056,-0.04136
-4499.646,-0.05352
-4999.81641,-0.06529
-5499.85645,-0.0807
-5999.5874,-0.09579
-6499.75781,-0.11114
-6999.61963,-0.1293
-7499.67139,-0.14802
-7999.75879,-0.16904
-8499.79883,-0.19069
-8999.71973,-0.2127
-9999.81152,-0.26303
-14999.69922,-0.57602
-19999.57422,-0.98116
-24999.7832,-1.45951
-29999.79102,-1.99321
-34999.70313,-2.56756
-39999.71875,-3.16696
-44999.61719,-3.78247
-49999.72266,-4.40446
-54999.82031,-5.02726
-59999.59375,-5.64426
-64999.72656,-6.25319
-69999.80469,-6.848
-74999.59375,-7.43029
-79999.625,-7.99985
-84999.60938,-8.54877
-89999.58594,-9.08043
