Field,MR
90000.29688,0.31493
85000.21875,0.2911
80000.35156,0.2675
75000.35938,0.24383
70000.41406,0.22053
65000.26953,0.19761
60000.42969,0.17503
55000.40625,0.15304
50000.25391,0.13158
45000.33203,0.11097
40000.17188,0.09129
35000.23438,0.07279
30000.31055,0.05573
25000.3418,0.04028
19999.87109,0.02679
15000.06738,0.01561
10000.26172,0.00716
9000.21777,0.00582
8500.21387,0.00519
8000.3999,0.00461
7500.35986,0.00403
7000.17773,0.00353
6499.73438,0.00304
6000.07422,0.00258
5499.85645,0.00217
5000.33887,0.0018
4500.15674,0.00147
4000.36621,0.00115
3500.24316,8.93E-04
2999.87085,6.78E-04
2500.021,4.83E-04
1999.87439,3.00E-04
1500.26196,1.95E-04
1000.32898,9.58E-05
500.40784,1.50E-05
0.43925,0
-499.86172,4.12E-05
-999.92529,1.31E-04
-1499.76331,2.14E-04
-1999.5658,3.71E-04
-2499.68872,5.25E-04
-2999.56226,7.18E-04
-3499.59009,9.66E-04
-3999.54688,0.00122
-4499.80078,0.00154
-4999.84033,0.00186
-5499.57129,0.00224
-5999.71826,0.00265
-6499.74561,0.00308
-6999.57227,0.00355
-7499.77832,0.00405
-7999.60449,0.0046
-8499.8457,0.00516
-8999.74316,0.00574
-9999.8584,0.00711
-14999.71094,0.01553
-19999.61133,0.02666
-24999.72266,0.04013
-29999.59961,0.05554
-34999.64063,0.07268
-39999.67188,0.09122
-44999.64063,0.11088
-49999.75391,0.13152
-54999.63281,0.15294
-59999.82813,0.175
-64999.77344,0.19759
-69999.73438,0.22054
-74999.63281,0.24384
-79999.78125,0.26752
-84999.6875,0.29123
-89999.85156,0.31507
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
